x                   	y                   
-------------------------------
39.926              	418.7433            
41.182              	1136.556            
42.107              	806.7503            
43.165              	16236.49            
44.091              	4402.282            
45.148              	638.614             
46.14               	36988.4             
48.057              	328.2084            
49.114              	2701.518            
50.105              	27436.96            
51.097              	37408.74            
52.088              	10843.2             
53.079              	8987.231            
54.136              	2889.055            
55.128              	5947.843            
56.119              	1925.504            
57.11               	6064.245            
58.167              	1065.422            
59.29               	360.5423            
60.149              	515.7451            
61.073              	9239.436            
62.13               	52036.61            
63.055              	119013.1            
64.112              	16107.16            
65.103              	16844.37            
66.093              	4654.487            
67.084              	7706.808            
68.074              	5805.574            
69.065              	13526.91            
70.121              	1673.299            
71.046              	5443.434            
72.102              	1556.897            
73.027              	3406.397            
74.083              	23718.56            
75.073              	23026.62            
76.064              	45996.63            
77.054              	27443.43            
78.044              	14729.74            
78.968              	7959.013            
80.024              	4415.215            
81.08               	3839.672            
82.004              	1783.234            
83.06               	3244.728            
83.984              	2526.915            
85.04               	8469.889            
86.03               	20420.5             
87.02               	24203.57            
88.01               	17775.59            
89                  	87784.98            
89.989              	19049.55            
91.045              	8146.549            
91.969              	7338.202            
93.024              	3690.936            
93.948              	2035.439            
95.003              	3160.66             
95.993              	3483.999            
97.048              	4285.88             
97.972              	884.3517            
99.027              	1628.032            
100.148             	237.6734            
100.874             	1446.962            
102.127             	1071.888            
102.984             	9640.376            
103.974             	3095.992            
105.029             	33483.4             
106.018             	13429.91            
107.007             	3749.137            
107.864             	2546.315            
108.985             	554.5458            
111.029             	3218.86             
111.886             	1505.163            
112.875             	2054.839            
114.062             	399.343             
115.051             	586.8796            
115.908             	2630.383            
116.962             	3703.869            
118.017             	2953.722            
118.94              	1847.902            
119.929             	10403.46            
120.983             	2158.308            
121.906             	1175.357            
122.96              	3095.992            
123.949             	1802.635            
125.003             	606.28              
125.663             	955.4863            
128.891             	567.4793            
133.043             	3891.406            
133.965             	23130.08            
134.953             	5158.895            
135.941             	5152.429            
136.995             	929.6193            
138.576             	755.0161            
140.092             	224.7398            
141.014             	502.8116            
142.002             	729.149             
142.99              	780.8832            
144.9               	341.1419            
145.954             	270.0074            
147.073             	1207.691            
147.732             	457.544             
148.917             	28432.85            
150.037             	3044.257            
150.893             	7131.264            
151.946             	2016.039            
152.934             	1020.154            
153.856             	134.2049            
154.91              	321.7416            
155.897             	619.2136            
156.687             	211.8063            
157.938             	806.7503            
159.123             	82.4706             
160.045             	599.8134            
162.481             	897.2853            
163.929             	36451.66            
164.917             	3212.394            
165.904             	9465.773            
167.089             	1440.495            
167.879             	774.4164            
168.998             	1395.228            
169.788             	800.2835            
172.026             	438.1436            
173.013             	399.343             
176.172             	244.1402            
177.883             	1382.294            
178.87              	2720.918            
179.923             	19702.69            
180.91              	4783.822            
181.897             	2255.31             
184.792             	270.0074            
189.003             	554.5458            
190.122             	347.6087            
190.977             	1770.301            
192.951             	23123.62            
193.937             	6510.453            
194.793             	2830.854            
196.964             	1770.301            
197.884             	813.2172            
199.003             	722.6821            
199.529             	347.6087            
201.963             	121.2713            
202.949             	257.0737            
207.159             	282.9409            
207.882             	140.6716            
209                 	6588.054            
209.921             	159314.1            
210.908             	26926.09            
211.894             	3723.27             
212.946             	961.9532            
213.933             	282.9409            
215.971             	438.1436            
217.024             	185.9392            
218.931             	354.0756            
221.561             	263.5406            
224.125             	140.6716            
225.769             	88.93745            
227.939             	4337.614            
228.859             	515.7451            
230.043             	567.4793            
232.015             	2074.24             
232.87              	929.6193            
233.987             	147.1385            
235.96              	696.8151            
236.551             	489.8779            
242.205             	457.544             
245.82              	63.0703             
250.948             	399.343             
255.22              	82.4706             
259.098             	88.93745            
268.891             	308.808             
276.58              	63.0703             
279.012             	328.2084            
280.983             	257.0737            
285.912             	231.2066            
288.015             	425.2101            
298.529             	121.2713            
302.998             	114.8045            
315.943             	108.3377            
320.083             	192.4059            
329.02              	367.0091            
336.709             	276.4741            
355.834             	308.808             
362.21              	405.8098            
367.009             	179.4724            
385.021             	244.1402            
389.69              	43.66993            
395.739             	218.2731            
