[Header]
Data File Name	D:\助燃剂标准品检验\92#汽油\百分一92#汽-乙.qgd
Output Date	2018/4/17
Output Time	17:25:25

[MS Chromatogram]
m/z	1-1 83.00
Event Time(msec)	200
# of Points	9750
Start Time(min)	2.500
End Time(min)	34.997
Ret.Time	Absolute Intensity	Relative Intensity
3.430	13305	1.63
3.433	11985	1.47
3.437	10479	1.28
3.440	9059	1.11
3.443	7696	0.94
3.447	6440	0.79
3.450	5394	0.66
3.453	4391	0.54
3.457	3392	0.41
3.460	2544	0.31
3.463	2145	0.26
3.467	2001	0.24
3.470	1917	0.23
3.473	1858	0.23
3.477	1830	0.22
3.480	1826	0.22
3.483	1816	0.22
3.487	1803	0.22
3.490	1805	0.22
3.493	1798	0.22
3.497	1794	0.22
3.500	1798	0.22
3.503	1796	0.22
3.507	1801	0.22
3.510	1800	0.22
3.513	1797	0.22
3.517	1802	0.22
3.520	1789	0.22
3.523	1762	0.22
3.527	1746	0.21
3.530	1730	0.21
3.533	1705	0.21
3.537	1693	0.21
3.540	1692	0.21
3.543	1713	0.21
3.547	1771	0.22
3.550	1871	0.23
3.553	2127	0.26
3.557	2838	0.35
3.560	3849	0.47
3.563	4708	0.58
3.567	5447	0.67
3.570	6004	0.73
3.573	6413	0.78
3.577	6645	0.81
3.580	6646	0.81
3.583	6498	0.79
3.587	6257	0.77
3.590	5867	0.72
3.593	5474	0.67
3.597	4866	0.60
3.600	3778	0.46
3.603	2734	0.33
3.607	2201	0.27
3.610	1935	0.24
3.613	1785	0.22
3.617	1728	0.21
3.620	1714	0.21
3.623	1664	0.20
3.627	1619	0.20
3.630	1623	0.20
3.633	1654	0.20
3.637	1692	0.21
3.640	1731	0.21
3.643	1765	0.22
3.647	1802	0.22
3.650	1886	0.23
3.653	1986	0.24
3.657	2047	0.25
3.660	2065	0.25
3.663	2013	0.25
3.667	1983	0.24
3.670	2010	0.25
3.673	1986	0.24
3.677	1922	0.24
3.680	1848	0.23
3.683	1758	0.21
3.687	1692	0.21
3.690	1662	0.20
3.693	1635	0.20
3.697	1608	0.20
3.700	1603	0.20
3.703	1624	0.20
3.707	1675	0.20
3.710	1800	0.22
3.713	2030	0.25
3.717	2558	0.31
3.720	4112	0.50
3.723	5572	0.68
3.727	7145	0.87
3.730	8973	1.10
3.733	10597	1.30
3.737	11887	1.45
3.740	12965	1.59
3.743	14202	1.74
3.747	15724	1.92
3.750	16266	1.99
3.753	16360	2.00
3.757	16348	2.00
3.760	16067	1.96
3.763	14952	1.83
3.767	13807	1.69
3.770	12579	1.54
3.773	10968	1.34
3.777	9367	1.15
3.780	8112	0.99
3.783	7117	0.87
3.787	6159	0.75
3.790	5079	0.62
3.793	3998	0.49
3.797	2886	0.35
3.800	2157	0.26
3.803	1834	0.22
3.807	1624	0.20
3.810	1474	0.18
3.813	1336	0.16
3.817	1202	0.15
3.820	1105	0.14
3.823	1086	0.13
3.827	1110	0.14
3.830	1120	0.14
3.833	1122	0.14
3.837	1215	0.15
3.840	1428	0.17
3.843	1641	0.20
3.847	1848	0.23
3.850	1979	0.24
3.853	1985	0.24
3.857	1936	0.24
3.860	1884	0.23
3.863	1836	0.22
3.867	1796	0.22
3.870	1783	0.22
3.873	1783	0.22
3.877	1775	0.22
3.880	1765	0.22
3.883	1750	0.21
3.887	1783	0.22
3.890	1846	0.23
3.893	1919	0.23
3.897	2076	0.25
3.900	2362	0.29
3.903	2810	0.34
3.907	3698	0.45
3.910	5073	0.62
3.913	6875	0.84
3.917	9377	1.15
3.920	12752	1.56
3.923	16854	2.06
3.927	21402	2.62
3.930	26219	3.21
3.933	30376	3.71
3.937	33638	4.11
3.940	35803	4.38
3.943	36100	4.41
3.947	35926	4.39
3.950	33651	4.11
3.953	30375	3.71
3.957	26420	3.23
3.960	22447	2.74
3.963	18466	2.26
3.967	14976	1.83
3.970	11832	1.45
3.973	8741	1.07
3.977	6516	0.80
3.980	5011	0.61
3.983	3790	0.46
3.987	3062	0.37
3.990	2747	0.34
3.993	2695	0.33
3.997	2777	0.34
4.000	2908	0.36
4.003	3189	0.39
4.007	3914	0.48
4.010	5008	0.61
4.013	6196	0.76
4.017	7617	0.93
4.020	8994	1.10
4.023	10130	1.24
4.027	11405	1.39
4.030	12428	1.52
4.033	12827	1.57
4.037	12915	1.58
4.040	12927	1.58
4.043	12852	1.57
4.047	12597	1.54
4.050	11850	1.45
4.053	10688	1.31
