[Header]
Data File Name	D:\助燃剂标准品检验\92#汽油\百分一92#汽-乙.qgd
Output Date	2018/4/17
Output Time	17:25:05

[MS Chromatogram]
m/z	1-1 82.00
Event Time(msec)	200
# of Points	9750
Start Time(min)	2.500
End Time(min)	34.997
Ret.Time	Absolute Intensity	Relative Intensity
2.500	39662	27.15
2.503	15026	10.29
2.507	220	0.15
2.510	220	0.15
2.513	223	0.15
2.517	229	0.16
2.520	232	0.16
2.523	235	0.16
2.527	239	0.16
2.530	244	0.17
2.533	249	0.17
2.537	252	0.17
2.540	257	0.18
2.543	265	0.18
2.547	271	0.19
2.550	274	0.19
2.553	279	0.19
2.557	284	0.19
2.560	288	0.20
2.563	296	0.20
2.567	304	0.21
2.570	302	0.21
2.573	295	0.20
2.577	293	0.20
2.580	294	0.20
2.583	295	0.20
2.587	298	0.20
2.590	303	0.21
2.593	307	0.21
2.597	308	0.21
2.600	314	0.21
2.603	328	0.22
2.607	338	0.23
2.610	341	0.23
2.613	359	0.25
2.617	389	0.27
2.620	420	0.29
2.623	466	0.32
2.627	532	0.36
2.630	594	0.41
2.633	670	0.46
2.637	856	0.59
2.640	1186	0.81
2.643	1631	1.12
2.647	2317	1.59
2.650	3396	2.32
2.653	5274	3.61
2.657	8417	5.76
2.660	13412	9.18
2.663	20175	13.81
2.667	29904	20.47
2.670	42766	29.28
2.673	58009	39.71
2.677	75913	51.97
2.680	94956	65.01
2.683	112990	77.35
2.687	128535	87.99
2.690	139533	95.52
2.693	145663	99.72
2.697	146072	100.00
2.700	140756	96.36
2.703	129371	88.57
2.707	113006	77.36
2.710	93194	63.80
2.713	73778	50.51
2.717	56127	38.42
2.720	40494	27.72
2.723	28631	19.60
2.727	20072	13.74
2.730	13658	9.35
2.733	9502	6.51
2.737	6803	4.66
2.740	5019	3.44
2.743	3901	2.67
2.747	3234	2.21
2.750	2885	1.98
2.753	2601	1.78
2.757	2265	1.55
2.760	2014	1.38
2.763	1872	1.28
2.767	1788	1.22
2.770	1706	1.17
2.773	1607	1.10
2.777	1534	1.05
2.780	1482	1.01
2.783	1407	0.96
2.787	1321	0.90
2.790	1269	0.87
2.793	1239	0.85
2.797	1201	0.82
2.800	1154	0.79
2.803	1101	0.75
2.807	1062	0.73
2.810	1043	0.71
2.813	1010	0.69
2.817	986	0.68
2.820	961	0.66
2.823	907	0.62
2.827	877	0.60
2.830	857	0.59
2.833	821	0.56
2.837	799	0.55
2.840	780	0.53
2.843	744	0.51
2.847	723	0.49
2.850	712	0.49
2.853	699	0.48
2.857	686	0.47
2.860	671	0.46
2.863	651	0.45
2.867	629	0.43
2.870	608	0.42
2.873	596	0.41
2.877	601	0.41
2.880	596	0.41
2.883	576	0.39
2.887	568	0.39
2.890	560	0.38
2.893	553	0.38
2.897	557	0.38
2.900	564	0.39
2.903	574	0.39
2.907	604	0.41
2.910	655	0.45
2.913	742	0.51
2.917	898	0.61
2.920	1195	0.82
2.923	1644	1.13
2.927	1982	1.36
2.930	2163	1.48
2.933	2349	1.61
2.937	2481	1.70
2.940	2470	1.69
2.943	2411	1.65
2.947	2319	1.59
2.950	1917	1.31
2.953	1353	0.93
2.957	1029	0.70
2.960	816	0.56
2.963	649	0.44
2.967	540	0.37
2.970	484	0.33
2.973	457	0.31
2.977	443	0.30
2.980	433	0.30
2.983	427	0.29
2.987	426	0.29
2.990	429	0.29
2.993	431	0.30
2.997	418	0.29
3.000	406	0.28
3.003	413	0.28
3.007	425	0.29
3.010	425	0.29
3.013	417	0.29
3.017	404	0.28
3.020	400	0.27
3.023	409	0.28
3.027	418	0.29
3.030	423	0.29
3.033	425	0.29
3.037	429	0.29
3.040	439	0.30
3.043	460	0.31
3.047	476	0.33
3.050	491	0.34
3.053	522	0.36
3.057	541	0.37
3.060	550	0.38
3.063	558	0.38
3.067	562	0.38
3.070	600	0.41
3.073	656	0.45
3.077	701	0.48
3.080	768	0.53
3.083	842	0.58
3.087	908	0.62
3.090	1059	0.72
3.093	1282	0.88
3.097	1441	0.99
3.100	1488	1.02
3.103	1522	1.04
3.107	1603	1.10
3.110	1636	1.12
3.113	1605	1.10
3.117	1561	1.07
3.120	1418	0.97
3.123	1198	0.82
3.127	1068	0.73
3.130	980	0.67
3.133	928	0.64
3.137	867	0.59
3.140	762	0.52
3.143	715	0.49
3.147	680	0.47
3.150	607	0.42
3.153	540	0.37
3.157	507	0.35
3.160	493	0.34
3.163	457	0.31
3.167	432	0.30
3.170	421	0.29
3.173	407	0.28
3.177	393	0.27
3.180	374	0.26
3.183	360	0.25
3.187	354	0.24
3.190	352	0.24
3.193	355	0.24
3.197	352	0.24
3.200	343	0.23
3.203	339	0.23
3.207	333	0.23
3.210	328	0.22
3.213	322	0.22
3.217	319	0.22
3.220	324	0.22
3.223	324	0.22
3.227	317	0.22
3.230	315	0.22
3.233	319	0.22
3.237	323	0.22
3.240	329	0.23
3.243	341	0.23
3.247	347	0.24
3.250	351	0.24
3.253	365	0.25
3.257	384	0.26
3.260	406	0.28
3.263	443	0.30
3.267	477	0.33
3.270	497	0.34
3.273	542	0.37
3.277	627	0.43
3.280	734	0.50
3.283	858	0.59
3.287	976	0.67
3.290	1071	0.73
3.293	1125	0.77
3.297	1128	0.77
3.300	1144	0.78
3.303	1189	0.81
3.307	1184	0.81
3.310	1104	0.76
3.313	1009	0.69
3.317	920	0.63
3.320	851	0.58
3.323	808	0.55
3.327	788	0.54
3.330	768	0.53
3.333	727	0.50
3.337	731	0.50
3.340	781	0.53
3.343	813	0.56
3.347	882	0.60
3.350	1037	0.71
3.353	1278	0.87
3.357	1678	1.15
3.360	2160	1.48
3.363	2627	1.80
3.367	3003	2.06
3.370	3178	2.18
3.373	3244	2.22
3.377	3242	2.22
3.380	3179	2.18
3.383	3051	2.09
3.387	2818	1.93
3.390	2499	1.71
3.393	2157	1.48
3.397	1770	1.21
3.400	1361	0.93
3.403	1082	0.74
3.407	942	0.64
3.410	882	0.60
3.413	837	0.57
3.417	790	0.54
3.420	749	0.51
3.423	712	0.49
3.427	685	0.47
3.430	673	0.46
3.433	665	0.46
3.437	649	0.44
3.440	623	0.43
3.443	595	0.41
3.447	582	0.40
3.450	577	0.40
3.453	563	0.39
3.457	549	0.38
3.460	537	0.37
3.463	525	0.36
3.467	519	0.36
3.470	510	0.35
3.473	496	0.34
3.477	485	0.33
3.480	475	0.33
3.483	465	0.32
3.487	458	0.31
3.490	451	0.31
3.493	442	0.30
3.497	434	0.30
3.500	428	0.29
3.503	423	0.29
3.507	417	0.29
3.510	409	0.28
3.513	404	0.28
3.517	400	0.27
3.520	395	0.27
3.523	390	0.27
3.527	384	0.26
3.530	377	0.26
3.533	369	0.25
3.537	364	0.25
3.540	359	0.25
3.543	353	0.24
3.547	347	0.24
3.550	342	0.23
3.553	339	0.23
3.557	334	0.23
3.560	330	0.23
3.563	326	0.22
3.567	322	0.22
3.570	318	0.22
3.573	315	0.22
3.577	312	0.21
3.580	308	0.21
3.583	305	0.21
3.587	302	0.21
3.590	299	0.20
3.593	296	0.20
3.597	294	0.20
3.600	291	0.20
3.603	288	0.20
3.607	286	0.20
3.610	284	0.19
3.613	282	0.19
3.617	281	0.19
3.620	280	0.19
3.623	279	0.19
3.627	278	0.19
3.630	277	0.19
3.633	277	0.19
3.637	277	0.19
