[Header]
Data File Name	D:\助燃剂标准品检验\92#汽油\百分一92#汽-乙.qgd
Output Date	2018/4/17
Output Time	17:05:48

[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	200
# of Points	9750
Start Time(min)	2.500
End Time(min)	34.997
Ret.Time	Absolute Intensity	Relative Intensity
3.403	133700	0.84
3.407	126452	0.79
3.410	121379	0.76
3.413	120740	0.76
3.417	121348	0.76
3.420	124008	0.78
3.423	126452	0.79
3.427	128398	0.81
3.430	130520	0.82
3.433	131328	0.83
3.437	131307	0.83
3.440	131239	0.82
3.443	133342	0.84
3.447	137826	0.87
3.450	144613	0.91
3.453	155043	0.97
3.457	168797	1.06
3.460	185263	1.16
3.463	203373	1.28
3.467	221979	1.40
3.470	239533	1.51
3.473	253937	1.60
3.477	262910	1.65
3.480	266472	1.67
3.483	268482	1.69
3.487	269129	1.69
3.490	270594	1.70
3.493	274955	1.73
3.497	283035	1.78
3.500	296276	1.86
3.503	314437	1.98
3.507	338744	2.13
3.510	365908	2.30
3.513	389187	2.45
3.517	406170	2.55
3.520	414910	2.61
3.523	412897	2.60
3.527	401267	2.52
3.530	382697	2.41
3.533	356575	2.24
3.537	329175	2.07
3.540	305661	1.92
3.543	289996	1.82
3.547	288313	1.81
3.550	305549	1.92
3.553	342790	2.15
3.557	400927	2.52
3.560	479145	3.01
3.563	572208	3.60
3.567	674760	4.24
3.570	777779	4.89
3.573	867562	5.45
3.577	937058	5.89
3.580	982137	6.17
3.583	1000736	6.29
3.587	989101	6.22
3.590	945537	5.94
3.593	880796	5.54
3.597	806268	5.07
3.600	731128	4.60
3.603	661142	4.16
3.607	595617	3.74
3.610	537671	3.38
3.613	488564	3.07
3.617	442482	2.78
3.620	400010	2.51
3.623	363679	2.29
3.627	330813	2.08
3.630	301471	1.89
3.633	278824	1.75
3.637	261339	1.64
3.640	246912	1.55
3.643	236662	1.49
3.647	229376	1.44
3.650	222793	1.40
3.653	215611	1.36
3.657	208041	1.31
3.660	197855	1.24
3.663	185525	1.17
3.667	172470	1.08
3.670	156705	0.98
3.673	141106	0.89
3.677	127374	0.80
3.680	114714	0.72
3.683	102923	0.65
3.687	95014	0.60
3.690	92106	0.58
3.693	95027	0.60
3.697	109944	0.69
3.700	141163	0.89
3.703	192339	1.21
3.707	271167	1.70
3.710	383886	2.41
3.713	529771	3.33
3.717	714249	4.49
3.720	939015	5.90
3.723	1201073	7.55
3.727	1492139	9.38
3.730	1789604	11.25
3.733	2080961	13.08
3.737	2365932	14.87
3.740	2639967	16.59
3.743	2893775	18.19
3.747	3116192	19.59
3.750	3326239	20.91
3.753	3564079	22.40
3.757	3856584	24.24
3.760	4222007	26.54
3.763	4668376	29.34
3.767	5199548	32.68
3.770	5821011	36.59
3.773	6513254	40.94
3.777	7242001	45.52
3.780	8006154	50.32
3.783	8793217	55.27
3.787	9553713	60.05
3.790	10294296	64.70
3.793	11041249	69.40
3.797	11742219	73.80
3.800	12318237	77.42
3.803	12823986	80.60
3.807	13363395	83.99
3.810	13897853	87.35
3.813	14406383	90.55
3.817	14875543	93.49
3.820	15267536	95.96
3.823	15588355	97.97
3.827	15801903	99.32
3.830	15910644	100.00
3.833	15859422	99.68
3.837	15533141	97.63
3.840	14687687	92.31
3.843	12943193	81.35
3.847	10326898	64.91
3.850	7370756	46.33
3.853	4803895	30.19
3.857	3089413	19.42
3.860	2162321	13.59
3.863	1720472	10.81
3.867	1503639	9.45
3.870	1372639	8.63
3.873	1266716	7.96
3.877	1162901	7.31
3.880	1061917	6.67
3.883	967807	6.08
3.887	880467	5.53
3.890	806046	5.07
3.893	744520	4.68
3.897	688407	4.33
3.900	637626	4.01
3.903	594982	3.74
3.907	564449	3.55
3.910	544193	3.42
3.913	538244	3.38
3.917	557600	3.50
3.920	611925	3.85
3.923	712463	4.48
3.927	872797	5.49
3.930	1103238	6.93
3.933	1407637	8.85
3.937	1785506	11.22
3.940	2221198	13.96
3.943	2683875	16.87
3.947	3147759	19.78
3.950	3586439	22.54
3.953	3958477	24.88
3.957	4231077	26.59
3.960	4408256	27.71
3.963	4449905	27.97
3.967	4306591	27.07
3.970	4032222	25.34
3.973	3686645	23.17
3.977	3280831	20.62
3.980	2836545	17.83
3.983	2382921	14.98
3.987	1952654	12.27
3.990	1574142	9.89
3.993	1247983	7.84
3.997	968257	6.09
4.000	740891	4.66
4.003	567710	3.57
4.007	443186	2.79
4.010	357016	2.24
4.013	301438	1.89
4.017	273383	1.72
4.020	267121	1.68
4.023	278619	1.75
4.027	305192	1.92
4.030	341740	2.15
4.033	384207	2.41
4.037	426167	2.68
4.040	463076	2.91
4.043	492781	3.10
4.047	512925	3.22
4.050	518801	3.26
4.053	507357	3.19
4.057	481463	3.03
4.060	444250	2.79
4.063	399104	2.51
4.067	351351	2.21
4.070	302764	1.90
4.073	255960	1.61
4.077	215014	1.35
4.080	182118	1.14
4.083	154637	0.97
4.087	132895	0.84
4.090	117293	0.74
4.093	107070	0.67
4.097	99928	0.63
4.100	95964	0.60
4.103	94290	0.59
4.107	94156	0.59
4.110	95337	0.60
4.113	97647	0.61
4.117	99784	0.63
4.120	103497	0.65
4.123	110243	0.69
4.127	118556	0.75
4.130	131298	0.83
4.133	150659	0.95
4.137	177900	1.12
4.140	217536	1.37
4.143	272711	1.71
4.147	340417	2.14
4.150	421356	2.65
4.153	514404	3.23
4.157	619927	3.90
4.160	735033	4.62
4.163	851921	5.35
4.167	964005	6.06
4.170	1070907	6.73
4.173	1164021	7.32
4.177	1223437	7.69
4.180	1248113	7.84
4.183	1241232	7.80
4.187	1197052	7.52
4.190	1120783	7.04
4.193	1017241	6.39
4.197	892462	5.61
4.200	757086	4.76
4.203	621789	3.91
4.207	496423	3.12
4.210	387674	2.44
4.213	301757	1.90
4.217	237896	1.50
4.220	191521	1.20
4.223	163047	1.02
4.227	154552	0.97
4.230	163022	1.02
4.233	184029	1.16
4.237	216524	1.36
4.240	259521	1.63
4.243	309881	1.95
4.247	362889	2.28
4.250	417447	2.62
4.253	462644	2.91
4.257	491002	3.09
4.260	504488	3.17
4.263	506033	3.18
4.267	491247	3.09
4.270	459781	2.89
4.273	417733	2.63
4.277	371507	2.33
4.280	323798	2.04
4.283	280832	1.77
4.287	244939	1.54
4.290	214852	1.35
4.293	190833	1.20
4.297	171971	1.08
4.300	156486	0.98
4.303	144706	0.91
4.307	136279	0.86
4.310	129115	0.81
4.313	122656	0.77
4.317	117069	0.74
4.320	112963	0.71
4.323	110231	0.69
4.327	109487	0.69
4.330	109136	0.69
4.333	107944	0.68
4.337	105000	0.66
4.340	102392	0.64
4.343	99426	0.62
4.347	95658	0.60
4.350	90636	0.57
4.353	85658	0.54
4.357	82277	0.52
4.360	78497	0.49
4.363	75817	0.48
4.367	75811	0.48
4.370	77364	0.49
4.373	80039	0.50
4.377	85567	0.54
4.380	93145	0.59
4.383	103051	0.65
4.387	117081	0.74
4.390	136475	0.86
4.393	161772	1.02
4.397	194568	1.22
4.400	235676	1.48
4.403	286002	1.80
4.407	346027	2.17
4.410	418198	2.63
4.413	501674	3.15
4.417	592938	3.73
4.420	690747	4.34
4.423	788899	4.96
4.427	872480	5.48
4.430	930683	5.85
4.433	962474	6.05
4.437	972379	6.11
4.440	955730	6.01
4.443	903921	5.68
4.447	818624	5.15
4.450	712815	4.48
4.453	606319	3.81
4.457	510473	3.21
4.460	427872	2.69
4.463	363588	2.29
4.467	323949	2.04
4.470	314010	1.97
4.473	332808	2.09
4.477	375864	2.36
4.480	443378	2.79
4.483	529290	3.33
4.487	623671	3.92
4.490	722464	4.54
4.493	818386	5.14
4.497	903387	5.68
4.500	970122	6.10
4.503	1014661	6.38
4.507	1041910	6.55
4.510	1049377	6.60
4.513	1037054	6.52
4.517	1008845	6.34
4.520	961663	6.04
4.523	901409	5.67
4.527	837054	5.26
4.530	766982	4.82
4.533	689207	4.33
4.537	608063	3.82
4.540	526668	3.31
4.543	449371	2.82
4.547	380923	2.39
4.550	321714	2.02
4.553	273343	1.72
4.557	235811	1.48
4.560	207482	1.30
4.563	188169	1.18
4.567	177252	1.11
4.570	171209	1.08
4.573	165626	1.04
4.577	159515	1.00
4.580	153337	0.96
4.583	146574	0.92
4.587	138473	0.87
4.590	129123	0.81
4.593	118027	0.74
4.597	108763	0.68
4.600	103805	0.65
4.603	100675	0.63
4.607	99829	0.63
4.610	100155	0.63
4.613	104553	0.66
4.617	113589	0.71
4.620	125657	0.79
4.623	138026	0.87
4.627	150455	0.95
4.630	164489	1.03
4.633	177237	1.11
4.637	188811	1.19
4.640	201468	1.27
4.643	211456	1.33
4.647	218867	1.38
4.650	226257	1.42
4.653	233086	1.46
4.657	235996	1.48
4.660	235667	1.48
4.663	235291	1.48
4.667	233031	1.46
4.670	226499	1.42
4.673	221199	1.39
4.677	217041	1.36
4.680	211503	1.33
4.683	207206	1.30
4.687	205102	1.29
4.690	205199	1.29
4.693	211448	1.33
4.697	225086	1.41
4.700	250767	1.58
4.703	296539	1.86
4.707	369334	2.32
4.710	478727	3.01
4.713	637143	4.00
4.717	857871	5.39
4.720	1145439	7.20
4.723	1495552	9.40
4.727	1905491	11.98
4.730	2354888	14.80
4.733	2828734	17.78
4.737	3313776	20.83
4.740	3747027	23.55
4.743	4093500	25.73
4.747	4374083	27.49
4.750	4576152	28.76
4.753	4635824	29.14
4.757	4515054	28.38
4.760	4262474	26.79
4.763	3929817	24.70
4.767	3514587	22.09
4.770	3028111	19.03
4.773	2520279	15.84
4.777	2044601	12.85
4.780	1630959	10.25
4.783	1294227	8.13
4.787	1030681	6.48
4.790	824866	5.18
4.793	665444	4.18
4.797	542926	3.41
4.800	449090	2.82
4.803	373820	2.35
4.807	310428	1.95
4.810	258226	1.62
4.813	217314	1.37
4.817	185819	1.17
4.820	161553	1.02
4.823	143039	0.90
4.827	129020	0.81
4.830	119257	0.75
4.833	112899	0.71
4.837	109648	0.69
4.840	107645	0.68
4.843	105977	0.67
4.847	105500	0.66
4.850	105231	0.66
4.853	103497	0.65
4.857	100993	0.63
4.860	97133	0.61
4.863	92930	0.58
4.867	88111	0.55
4.870	81124	0.51
4.873	74837	0.47
4.877	70172	0.44
4.880	68760	0.43
4.883	68922	0.43
4.887	71202	0.45
4.890	75873	0.48
4.893	83873	0.53
4.897	94338	0.59
4.900	107037	0.67
4.903	120872	0.76
4.907	135534	0.85
4.910	150392	0.95
4.913	167963	1.06
4.917	190892	1.20
4.920	217786	1.37
4.923	250446	1.57
4.927	293649	1.85
4.930	349671	2.20
4.933	418506	2.63
4.937	498858	3.14
4.940	586629	3.69
4.943	675161	4.24
4.947	760560	4.78
4.950	838056	5.27
4.953	897283	5.64
4.957	936404	5.89
4.960	954149	6.00
4.963	938768	5.90
4.967	890604	5.60
4.970	820234	5.16
4.973	736478	4.63
4.977	648353	4.07
4.980	562223	3.53
4.983	485034	3.05
4.987	419992	2.64
4.990	365716	2.30
4.993	320784	2.02
4.997	282363	1.77
5.000	251807	1.58
5.003	226329	1.42
5.007	201232	1.26
5.010	178550	1.12
5.013	158473	1.00
5.017	140290	0.88
5.020	124512	0.78
5.023	112276	0.71
5.027	102506	0.64
5.030	94104	0.59
5.033	89148	0.56
5.037	86116	0.54
5.040	83757	0.53
5.043	80954	0.51
5.047	78666	0.49
5.050	78169	0.49
5.053	78213	0.49
5.057	78586	0.49
5.060	80837	0.51
5.063	85895	0.54
5.067	94015	0.59
5.070	102727	0.65
5.073	112286	0.71
5.077	122503	0.77
5.080	131800	0.83
5.083	138107	0.87
5.087	142597	0.90
5.090	143951	0.90
5.093	143723	0.90
5.097	141036	0.89
5.100	138051	0.87
5.103	137130	0.86
5.107	137925	0.87
5.110	144103	0.91
5.113	156729	0.99
5.117	172665	1.09
5.120	191965	1.21
5.123	212944	1.34
5.127	235413	1.48
5.130	256960	1.62
5.133	271937	1.71
5.137	280594	1.76
5.140	285579	1.79
5.143	285575	1.79
5.147	280737	1.76
5.150	273175	1.72
5.153	262026	1.65
5.157	249536	1.57
5.160	235410	1.48
5.163	220248	1.38
5.167	206483	1.30
5.170	192054	1.21
5.173	176478	1.11
5.177	161969	1.02
5.180	150520	0.95
5.183	147390	0.93
5.187	159613	1.00
5.190	192780	1.21
5.193	249629	1.57
5.197	329261	2.07
5.200	424989	2.67
5.203	528972	3.32
5.207	635689	4.00
5.210	737623	4.64
5.213	825332	5.19
5.217	893322	5.61
5.220	936945	5.89
5.223	945534	5.94
5.227	920512	5.79
5.230	867689	5.45
5.233	784220	4.93
5.237	680182	4.28
5.240	575970	3.62
5.243	486726	3.06
5.247	414073	2.60
5.250	356873	2.24
5.253	313639	1.97
5.257	281466	1.77
5.260	259275	1.63
5.263	246864	1.55
5.267	242205	1.52
5.270	241376	1.52
5.273	242121	1.52
5.277	247498	1.56
5.280	254819	1.60
5.283	259275	1.63
5.287	261996	1.65
5.290	264135	1.66
5.293	261994	1.65
5.297	254395	1.60
5.300	242526	1.52
5.303	227626	1.43
5.307	209338	1.32
5.310	190680	1.20
5.313	171175	1.08
5.317	152330	0.96
5.320	135969	0.85
5.323	120757	0.76
5.327	108636	0.68
5.330	100420	0.63
5.333	93318	0.59
5.337	87140	0.55
5.340	83938	0.53
5.343	83780	0.53
5.347	87134	0.55
5.350	97072	0.61
5.353	111925	0.70
5.357	132212	0.83
5.360	161249	1.01
5.363	198894	1.25
5.367	243825	1.53
5.370	295240	1.86
5.373	349930	2.20
5.377	403711	2.54
5.380	452404	2.84
5.383	490824	3.08
5.387	514986	3.24
5.390	526080	3.31
5.393	521471	3.28
5.397	496602	3.12
5.400	458592	2.88
5.403	413074	2.60
5.407	361133	2.27
5.410	310814	1.95
5.413	268281	1.69
5.417	234895	1.48
5.420	214892	1.35
5.423	208591	1.31
5.427	214689	1.35
5.430	231196	1.45
5.433	254008	1.60
5.437	281260	1.77
5.440	310669	1.95
5.443	337531	2.12
5.447	358495	2.25
5.450	368985	2.32
5.453	367162	2.31
5.457	356158	2.24
5.460	340085	2.14
5.463	317229	1.99
5.467	287982	1.81
5.470	256143	1.61
5.473	222976	1.40
5.477	191336	1.20
5.480	164008	1.03
5.483	141704	0.89
5.487	123778	0.78
5.490	108039	0.68
5.493	94358	0.59
5.497	82893	0.52
5.500	73961	0.46
5.503	68032	0.43
5.507	65227	0.41
5.510	65220	0.41
5.513	68009	0.43
5.517	73907	0.46
5.520	82878	0.52
5.523	95374	0.60
5.527	110566	0.69
5.530	128680	0.81
5.533	148509	0.93
5.537	168355	1.06
5.540	188361	1.18
5.543	206511	1.30
5.547	220413	1.39
5.550	231178	1.45
5.553	239008	1.50
5.557	242761	1.53
5.560	242106	1.52
5.563	234745	1.48
5.567	223497	1.40
5.570	211310	1.33
5.573	198209	1.25
5.577	183088	1.15
5.580	168277	1.06
5.583	155827	0.98
5.587	147475	0.93
5.590	145118	0.91
5.593	152177	0.96
5.597	169641	1.07
5.600	199382	1.25
5.603	241952	1.52
5.607	296875	1.87
5.610	362588	2.28
5.613	435270	2.74
5.617	509795	3.20
5.620	577379	3.63
5.623	633452	3.98
5.627	675684	4.25
5.630	701376	4.41
5.633	705983	4.44
5.637	687956	4.32
5.640	649612	4.08
5.643	595911	3.75
5.647	532581	3.35
5.650	463220	2.91
5.653	392876	2.47
5.657	329046	2.07
5.660	275280	1.73
5.663	232227	1.46
5.667	202449	1.27
5.670	184769	1.16
5.673	176932	1.11
5.677	178957	1.12
5.680	189611	1.19
5.683	207084	1.30
5.687	228516	1.44
5.690	252500	1.59
5.693	279049	1.75
5.697	303590	1.91
5.700	323429	2.03
5.703	342225	2.15
5.707	360228	2.26
5.710	376086	2.36
5.713	390919	2.46
5.717	406183	2.55
5.720	425253	2.67
5.723	450204	2.83
5.727	479364	3.01
