x                   	y                   
-------------------------------
40.058              	2341.363            
42.702              	8483.119            
44.686              	1273.231            
46.272              	144250.3            
47.197              	7205.176            
48.387              	1731.002            
49.312              	13461.38            
50.304              	73715.43            
51.295              	39897.63            
52.286              	7891.832            
53.344              	54927.77            
54.467              	6156.118            
55.524              	3619.306            
58.365              	1330.452            
60.215              	3981.707            
62.196              	11859.18            
63.517              	47374.55            
67.084              	2627.469            
69.395              	9360.513            
70.782              	1463.969            
71.838              	987.1245            
73.357              	28605.96            
74.281              	45791.43            
75.337              	167634.7            
76.394              	58189.38            
77.318              	30227.23            
78.176              	4763.732            
80.486              	13175.27            
81.41               	18134.45            
82.73               	6861.848            
85.304              	13232.49            
86.492              	3047.092            
87.284              	10447.72            
89.263              	6766.479            
90.187              	10714.75            
91.705              	8979.037            
94.476              	9303.291            
95.135              	4954.47             
96.191              	4096.15             
96.784              	5202.429            
99.357              	310039.5            
101.402             	100075.4            
102.325             	24276.21            
104.172             	5564.831            
105.688             	6003.528            
107.601             	38657.83            
108.721             	9989.947            
111.359             	67154.05            
113.403             	22159.02            
114.128             	5469.462            
115.842             	5526.684            
117.819             	1883.592            
118.94              	2932.65             
120.126             	7414.987            
120.851             	5831.864            
122.17              	3657.453            
124.147             	1998.035            
125.333             	117489.8            
127.376             	551246.5            
129.287             	213812.3            
131.264             	11039               
132.318             	5545.757            
133.108             	6156.118            
134.294             	7376.839            
135.085             	8826.447            
137.325             	18821.11            
138.313             	32115.53            
139.235             	18172.6             
141.211             	979796.2            
142.199             	79952.56            
143.121             	361538.7            
144.109             	29502.42            
145.032             	5602.979            
146.283             	2169.698            
147.007             	2207.846            
148.39              	1254.157            
149.181             	9799.209            
150.234             	4210.593            
151.156             	7987.201            
152.144             	2474.879            
153.198             	5145.208            
154.054             	4000.781            
154.646             	3829.117            
157.017             	1209158             
158.004             	475180.3            
158.86              	493491.1            
159.914             	148389.3            
160.901             	11954.55            
161.823             	8712.005            
162.942             	11458.63            
163.929             	18897.4             
164.983             	4096.15             
165.904             	4515.773            
166.957             	9265.145            
168.011             	3428.568            
169.064             	8101.644            
169.854             	2436.731            
171.038             	1368.6              
172.026             	4305.961            
173.013             	3352.273            
173.934             	117146.4            
174.921             	26832.09            
175.909             	35663.25            
176.962             	13785.63            
177.883             	6690.184            
178.936             	2951.723            
179.857             	4515.773            
180.976             	1444.895            
182.029             	853.6079            
182.884             	3504.863            
183.871             	17714.83            
184.924             	11630.29            
185.911             	31734.05            
186.898             	16589.47            
187.951             	19355.17            
188.937             	6556.667            
189.924             	21434.21            
190.911             	3733.748            
191.964             	7929.979            
192.819             	2207.846            
193.806             	1349.526            
194.858             	1235.084            
195.977             	2245.994            
196.832             	2551.174            
197.819             	1998.035            
198.805             	3256.904            
199.858             	3008.945            
201.108             	1692.854            
201.831             	5660.2              
202.949             	6747.405            
203.936             	4611.142            
204.923             	4782.806            
205.909             	1883.592            
206.764             	529.3538            
207.817             	529.3538            
208.803             	491.2062            
209.921             	6041.675            
210.973             	1635.633            
212.946             	891.7556            
213.933             	2093.404            
214.722             	701.0178            
215.511             	433.985             
216.826             	891.7556            
217.878             	1235.084            
218.931             	1769.15             
220.048             	357.6898            
220.903             	1502.116            
222.021             	26851.17            
222.942             	4477.626            
223.928             	31676.83            
224.98              	4992.618            
225.9               	11973.62            
226.887             	1978.961            
228.004             	2513.026            
229.911             	2703.764            
230.963             	166.9519            
231.949             	6632.963            
233.001             	872.6818            
234.974             	853.6079            
237.998             	2932.65             
238.918             	2017.108            
239.97              	8769.226            
241.022             	2474.879            
242.073             	968.0507            
244.046             	1120.641            
245.295             	205.0996            
247.004             	1387.674            
247.661             	319.5422            
249.896             	1425.821            
250.75              	1673.78             
251.868             	1082.493            
254.103             	357.6898            
255.812             	5946.307            
257.783             	1387.674            
259.821             	3962.634            
263.239             	414.911             
266.262             	510.2799            
267.839             	7128.881            
268.957             	2341.363            
269.811             	6594.815            
271.848             	2722.838            
272.703             	1578.411            
274.083             	1654.707            
274.937             	300.4684            
275.923             	243.247             
276.974             	510.2799            
277.96              	3047.092            
280.852             	262.321             
285.189             	1101.567            
285.846             	796.3867            
286.963             	472.1324            
287.949             	1387.674            
289.066             	224.1733            
297.018             	1864.518            
298.069             	453.0587            
302.012             	529.3538            
302.998             	1006.198            
304.049             	1044.346            
305.166             	1349.526            
305.758             	1788.223            
307.006             	1521.19             
311.212             	1578.411            
324.946             	1063.42             
325.932             	414.911             
330.4               	929.903             
334.935             	472.1324            
338.747             	338.6159            
340.981             	4534.847            
343.15              	777.313             
344.53              	796.3867            
351.76              	90.657              
354.849             	2265.067            
356.163             	1006.198            
363.788             	491.2062            
364.511             	777.313             
366.286             	872.6818            
366.877             	720.0916            
373.056             	186.0258            
376.278             	472.1324            
380.879             	624.7227            
383.181             	605.649             
