x                   	y                   
-------------------------------
39.86               	537.1841            
42.24               	3046.162            
43.231              	4959.085            
44.157              	3850.144            
45.082              	2172.872            
46.14               	97028.88            
48.189              	800.5574            
49.114              	4889.776            
50.172              	36785.68            
51.163              	60322.94            
52.154              	65008.21            
53.145              	18515.88            
54.203              	5208.596            
55.194              	7662.127            
56.251              	1077.793            
57.242              	1992.669            
60.215              	828.281             
61.139              	20234.74            
62.13               	46197.81            
63.121              	253431.1            
64.112              	60808.1             
65.103              	33583.61            
66.159              	26638.87            
67.084              	5194.734            
68.14               	3087.747            
69.065              	4196.688            
71.046              	6553.187            
72.102              	1077.793            
73.093              	2865.959            
74.149              	18183.2             
75.073              	12375.12            
76.13               	11626.59            
77.12               	84913.7             
78.11               	113829.3            
79.1                	46211.67            
80.09               	15147.47            
81.08               	8674.035            
82.07               	675.8016            
83.126              	2755.065            
83.984              	2491.692            
85.04               	8840.376            
86.096              	17767.35            
87.086              	19347.59            
88.01               	6636.357            
89.066              	381790.9            
90.055              	125140.5            
90.979              	43827.45            
92.035              	25626.96            
93.024              	16686.13            
93.948              	12014.72            
95.003              	2658.033            
96.059              	2311.489            
99.159              	1895.636            
99.951              	551.0458            
101.006             	4113.518            
102.193             	1826.327            
102.918             	1410.475            
104.04              	33902.43            
105.029             	35496.53            
106.018             	25086.36            
107.007             	44589.84            
107.996             	20595.14            
108.985             	6151.196            
109.842             	426.29              
110.897             	1604.539            
111.886             	1063.931            
115.051             	1992.669            
116.04              	1867.913            
117.094             	4335.306            
118.017             	36647.06            
119.006             	180227.1            
119.995             	13622.68            
120.983             	5347.213            
122.038             	3087.747            
122.895             	2380.798            
124.081             	578.7694            
125.926             	246.0871            
126.98              	426.29              
128.167             	1202.548            
128.957             	3143.194            
130.012             	2006.53             
131                 	1646.125            
131.922             	842.1428            
132.977             	2186.733            
134.294             	1535.23             
135.019             	6109.61             
135.941             	6497.739            
137.061             	218.3637            
137.984             	3864.005            
138.972             	537.1841            
139.828             	814.4191            
141.08              	1424.337            
142.133             	3697.665            
143.056             	8327.491            
144.044             	1507.507            
145.032             	1840.189            
146.019             	2075.839            
146.942             	2256.042            
147.929             	13913.78            
149.049             	24046.72            
149.971             	17975.27            
151.025             	3462.014            
152.012             	1673.848            
153.066             	1133.24             
153.988             	3517.462            
155.041             	1562.954            
156.029             	772.834             
157.148             	2172.872            
158.07              	1341.166            
159.058             	1951.083            
160.111             	440.1519            
160.835             	620.3546            
162.086             	1022.346            
163.074             	4862.052            
164.917             	616470.5            
165.904             	159088              
166.892             	21232.79            
167.879             	4557.094            
169.064             	3739.25             
169.919             	3961.038            
171.104             	1479.783            
171.828             	1923.36             
172.815             	149.0549            
174.461             	259.949             
175.843             	454.0136            
177.817             	218.3637            
178.936             	2796.65             
180.055             	1257.995            
180.976             	1188.687            
181.831             	33472.72            
182.884             	45837.4             
183.937             	5485.831            
186.832             	2186.733            
187.885             	204.502             
188.937             	1036.207            
190.056             	273.8107            
190.714             	551.0458            
195.845             	2339.212            
196.635             	370.8429            
198.016             	1410.475            
198.937             	1923.36             
200.055             	1493.645            
200.91              	966.8986            
202.884             	287.6725            
209.066             	966.8986            
210.973             	856.0045            
211.631             	384.7048            
212.881             	551.0458            
214.985             	3392.706            
217.089             	246.0871            
218.931             	1257.995            
224.191             	564.9077            
225.177             	980.7603            
226.887             	107.4696            
234.448             	52.02255            
238.063             	232.2254            
242.008             	1216.41             
242.994             	925.3132            
243.914             	2200.595            
247.727             	634.2164            
248.778             	1257.995            
251.868             	79.74616            
252.722             	551.0458            
254.826             	925.3132            
255.943             	370.8429            
259.952             	38.16083            
261.135             	370.8429            
271.914             	1826.327            
277.434             	79.74616            
278.617             	869.8661            
285.781             	79.74616            
290.249             	52.02255            
292.089             	370.8429            
295.243             	426.29              
325.406             	800.5574            
326.983             	149.0549            
341.047             	1313.443            
342.493             	564.9077            
354.126             	1063.931            
355.177             	467.8753            
359.844             	65.88445            
373.319             	523.3223            
386.073             	65.88445            
