x                   	y                   
-------------------------------
40.19               	471.2416            
40.851              	1488.818            
42.372              	2159.493            
43.231              	2275.127            
44.157              	1442.565            
45.082              	4437.478            
46.14               	87011.5             
47.131              	3049.873            
48.189              	2055.423            
49.18               	10843.58            
50.172              	30270.04            
51.163              	13433.78            
52.154              	10901.4             
53.145              	9606.303            
54.335              	852.8328            
55.194              	1477.255            
57.176              	5119.716            
60.149              	2529.521            
61.139              	26165.05            
62.13               	27945.81            
63.121              	146123.4            
64.112              	11733.96            
65.103              	5038.772            
66.159              	3570.225            
67.216              	1477.255            
68.273              	1535.072            
69.131              	4622.491            
70.32               	529.0584            
71.046              	3419.901            
72.102              	10623.88            
73.093              	47025.36            
74.083              	148089.2            
75.073              	278200.3            
76.064              	53870.88            
77.054              	16844.97            
78.044              	2783.916            
79.034              	38757.56            
80.09               	5304.73             
81.08               	6021.659            
83.126              	2182.62             
83.984              	31912.04            
84.974              	6657.644            
86.03               	18452.28            
87.02               	11479.57            
88.076              	7779.291            
89                  	12265.88            
90.055              	4842.195            
90.979              	14682.62            
91.969              	3049.873            
93.024              	3593.351            
94.08               	135.9038            
95.135              	2460.141            
96.125              	1373.184            
97.048              	11664.58            
98.038              	20337.11            
99.027              	5559.124            
100.082             	2252                
101.006             	3905.563            
101.929             	3882.436            
104.04              	4622.491            
105.029             	1465.691            
106.15              	2055.423            
107.073             	54159.96            
107.996             	9687.247            
108.985             	49291.79            
110.04              	146562.8            
110.963             	25586.88            
111.952             	54587.81            
113.007             	11329.25            
113.93              	4298.717            
115.051             	4784.378            
116.04              	1720.085            
117.094             	1743.212            
117.951             	216.8474            
119.006             	1419.438            
121.049             	1003.157            
121.576             	401.8613            
122.96              	2587.338            
124.015             	50725.64            
124.938             	16394               
125.926             	48216.39            
126.915             	12023.05            
127.969             	14705.75            
128.957             	2541.084            
130.078             	748.7624            
131.988             	309.3543            
134.953             	517.4949            
137.061             	2298.254            
138.379             	899.0862            
138.84              	1211.297            
139.894             	4853.759            
140.948             	5790.392            
141.936             	5836.645            
142.924             	3512.408            
143.912             	3604.915            
144.966             	563.7484            
145.624             	1026.283            
148.259             	1361.621            
148.983             	783.4524            
149.971             	1662.269            
151.025             	1165.044            
152.012             	1234.424            
153.922             	2830.169            
154.91              	4298.717            
155.963             	13584.1             
156.951             	4645.618            
158.004             	4865.322            
159.255             	864.3961            
160.967             	2043.86             
164.917             	2795.479            
166.102             	818.1426            
166.892             	1326.931            
169.919             	33577.17            
170.907             	8334.333            
171.894             	51824.16            
172.947             	5755.701            
173.868             	16023.97            
174.921             	3049.873            
175.843             	2101.677            
176.896             	818.1426            
179.331             	1708.522            
183.016             	2460.141            
183.871             	1026.283            
184.99              	2783.916            
185.911             	65295.48            
186.964             	9953.204            
187.951             	30917.59            
189.003             	4911.575            
189.99              	1245.987            
190.911             	2228.874            
192.03              	239.9741            
195.977             	1384.748            
196.898             	1130.354            
198.937             	910.6495            
199.924             	448.1148            
201.831             	251500.4            
202.818             	29229.34            
203.804             	81241.38            
204.923             	8045.249            
205.778             	1280.677            
207.027             	1026.283            
207.882             	818.1426            
208.803             	2101.677            
209.79              	401.8613            
210.908             	1835.719            
213.867             	448.1148            
214.656             	448.1148            
217.681             	239.9741            
218.931             	16914.35            
219.983             	2564.211            
220.837             	6507.32             
221.89              	1269.114            
222.876             	413.4246            
224.848             	1234.424            
226.887             	667.8188            
228.859             	1037.847            
229.911             	1107.227            
230.766             	1072.537            
233.724             	471.2416            
234.974             	1835.719            
235.894             	563.7484            
236.946             	1766.339            
238.918             	1176.607            
239.838             	552.1851            
244.769             	621.5652            
247.858             	309.3543            
252.854             	239.9741            
255.023             	529.0584            
265.736             	147.4671            
270.074             	991.5931            
274.806             	124.3405            
275.857             	205.284             
279.275             	112.7771            
279.8               	251.5375            
283.612             	124.3405            
291.958             	355.6078            
296.821             	922.2129            
300.698             	170.5939            
309.438             	170.5939            
313.643             	124.3405            
322.12              	112.7771            
326.523             	124.3405            
330.729             	89.6503             
335.658             	482.8049            
353.074             	390.2979            
353.731             	1026.283            
358.069             	633.1287            
361.816             	1569.762            
383.509             	101.2136            
387.191             	286.2276            
