x                   	y                   
-------------------------------
41.248              	1158.788            
42.24               	929.903             
43.496              	2875.428            
44.157              	681.9439            
44.884              	891.7556            
46.206              	93132.54            
47.264              	701.0178            
49.18               	5240.577            
50.238              	34976.6             
51.229              	49186.56            
52.286              	26889.31            
53.277              	30170.01            
55.194              	8998.11             
57.572              	2379.51             
59.29               	815.4604            
61.206              	10333.28            
62.262              	19259.8             
63.253              	169885.4            
64.244              	21701.25            
65.235              	791919.5            
66.225              	40755.95            
67.216              	4286.888            
68.471              	4077.076            
69.197              	662.8702            
70.055              	1864.518            
71.442              	1578.411            
73.159              	2379.51             
74.215              	6404.078            
75.073              	6899.996            
76.262              	10218.83            
77.252              	78083.33            
78.242              	33794.02            
79.232              	206755              
80.288              	16417.81            
81.344              	7491.282            
82.07               	1711.928            
83.192              	1120.641            
83.984              	2379.51             
85.304              	3428.568            
86.294              	5278.725            
87.284              	11687.51            
89.263              	181024.5            
90.253              	34003.83            
91.177              	789573.4            
92.167              	70491.97            
93.156              	7949.054            
96.389              	2589.322            
96.85               	1521.19             
98.302              	1978.961            
99.159              	1444.895            
101.27              	14777.47            
102.259             	2265.067            
103.182             	1998.035            
104.106             	7262.397            
105.227             	54775.18            
106.216             	17829.27            
107.139             	631318.3            
108.128             	50750.61            
109.183             	3676.527            
113.93              	109.7307            
115.183             	3714.675            
116.237             	3733.748            
118.215             	28853.91            
121.049             	795104.8            
122.038             	109307.1            
122.96              	6594.815            
123.949             	2341.363            
126.321             	948.977             
126.717             	1063.42             
128.035             	4611.142            
129.155             	5717.421            
130.078             	27633.19            
131.066             	18611.29            
132.12              	6880.922            
133.24              	1406.748            
134.097             	2970.797            
136.995             	1004687             
137.918             	496142.3            
138.906             	41442.61            
140.026             	3028.019            
141.014             	1788.223            
142.002             	4916.323            
142.99              	9474.955            
143.978             	15807.45            
144.966             	2722.838            
145.888             	2780.06             
147.073             	1330.452            
148.917             	777.313             
149.971             	3371.347            
151.025             	739.1653            
151.946             	4267.813            
153.066             	4019.855            
153.922             	7910.906            
154.91              	6385.004            
156.029             	29273.54            
156.951             	8425.897            
158.07              	2951.723            
159.058             	1292.305            
162.81              	948.977             
164.851             	1120.641            
166.957             	2894.502            
167.945             	17638.53            
168.998             	8750.151            
169.985             	25630.45            
171.038             	3314.125            
171.96              	3962.634            
173.21              	205.0996            
174.79              	662.8702            
175.843             	605.649             
176.896             	929.903             
180.12              	720.0916            
181.239             	777.313             
182.029             	10447.72            
182.95              	1387.674            
184.003             	29616.86            
184.99              	40298.18            
185.911             	3924.486            
188.674             	243.247             
189.924             	1292.305            
193.674             	720.0916            
195.977             	1349.526            
196.898             	777.313             
198.148             	1769.15             
201.831             	2398.584            
202.686             	796.3867            
209                 	548.4276            
209.855             	1254.157            
211.039             	929.903             
211.96              	3790.969            
218.47              	910.8293            
218.996             	891.7556            
231.358             	109.7307            
238.918             	109.7307            
240.233             	1559.338            
243.52              	128.8044            
245.032             	1502.116            
246.018             	1387.674            
252.131             	1616.559            
255.812             	147.8782            
260.084             	1750.076            
267.774             	186.0258            
271.914             	319.5422            
272.571             	1368.6              
274.214             	605.649             
274.609             	1521.19             
276.974             	128.8044            
277.894             	987.1245            
280.983             	395.8373            
283.086             	1349.526            
287.555             	510.2799            
290.183             	510.2799            
292.286             	567.5013            
293.601             	109.7307            
305.495             	414.911             
310.226             	872.6818            
318.309             	662.8702            
322.975             	71.58303            
325.472             	1273.231            
326.918             	681.9439            
327.903             	281.3947            
329.875             	605.649             
344.136             	586.575             
352.285             	262.321             
357.149             	834.5342            
362.999             	453.0587            
373.977             	2665.617            
377.066             	510.2799            
381.34              	90.657              
