scanname 扫描021
timestamp 1/1/1970 01:19
scancount 1
laserwavenum 850.5
measurementstate Unknown
scanmode Identification
snr 16.43 16.43 16.43
replacelist 0
peaks 8
887.987 1.07467
890.851 1.02716
893.716 0.971244
896.58 0.973433
899.445 0.961572
902.309 0.948623
905.174 0.939942
908.038 0.941201
910.903 0.956926
913.767 0.985183
916.632 1.00872
919.496 1.02436
922.36 1.05319
925.225 1.11495
928.089 1.19108
930.954 1.25647
933.818 1.31858
936.683 1.41413
939.547 1.48836
942.412 1.60213
945.276 1.71239
948.141 1.82674
951.005 1.97281
953.87 2.12172
956.734 2.27556
959.599 2.43933
962.463 2.63701
965.328 2.84541
968.192 3.07392
971.057 3.34116
973.921 3.6162
976.785 3.9343
979.65 4.25071
982.514 4.59484
985.379 4.98939
988.243 5.38607
991.108 5.7565
993.972 6.05388
996.837 6.3187
999.701 6.52294
1002.57 6.72094
1005.43 6.8213
1008.29 6.80843
1011.16 6.59516
1014.02 6.29673
1016.89 6.01964
1019.75 5.76702
1022.62 5.63114
1025.48 5.46594
1028.35 5.32347
1031.21 5.26237
1034.07 5.25274
1036.94 5.23764
1039.8 5.22119
1042.67 5.23694
1045.53 5.25906
1048.4 5.2499
1051.26 5.23441
1054.13 5.26472
1056.99 5.2606
1059.86 5.29074
1062.72 5.30454
1065.58 5.24977
1068.45 5.22446
1071.31 5.23223
1074.18 5.16849
1077.04 5.07237
1079.91 4.97447
1082.77 4.85434
1085.64 4.78182
1088.5 4.60436
1091.36 4.3483
1094.23 4.11391
1097.09 3.89606
1099.96 3.6029
1102.82 3.30272
1105.69 3.04919
1108.55 2.85716
1111.42 2.66474
1114.28 2.51638
1117.14 2.37093
1120.01 2.2512
1122.87 2.16655
1125.74 2.11617
1128.6 2.04078
1131.47 2.01084
1134.33 1.94287
1137.2 1.90815
1140.06 1.902
1142.92 1.86171
1145.79 1.82275
1148.65 1.81382
1151.52 1.7704
1154.38 1.732
1157.25 1.72738
1160.11 1.68761
1162.98 1.67685
1165.84 1.66483
1168.71 1.63305
1171.57 1.63537
1174.43 1.61355
1177.3 1.56876
1180.16 1.52558
1183.03 1.56518
1185.89 1.52899
1188.76 1.51506
1191.62 1.48287
1194.49 1.45715
1197.35 1.46401
1200.21 1.44023
1203.08 1.4214
1205.94 1.39595
1208.81 1.40447
1211.67 1.38783
1214.54 1.3577
1217.4 1.34311
1220.27 1.31315
1223.13 1.29778
1225.99 1.25385
1228.86 1.23345
1231.72 1.20068
1234.59 1.17958
1237.45 1.18269
1240.32 1.15817
1243.18 1.20637
1246.05 1.30411
1248.91 1.47399
1251.78 1.92257
1254.64 2.72299
1257.5 3.26968
1260.37 2.85783
1263.23 1.98826
1266.1 1.26166
1268.96 0.842591
1271.83 0.629843
1274.69 0.512545
1277.56 0.440351
1280.42 0.374405
1283.28 0.348819
1286.15 0.326895
1289.01 0.329165
1291.88 0.299656
1294.74 0.297359
1297.61 0.273443
1300.47 0.287943
1303.34 0.279953
1306.2 0.266388
1309.06 0.247914
1311.93 0.254471
1314.79 0.254333
1317.66 0.256304
1320.52 0.246666
1323.39 0.236355
1326.25 0.23376
1329.12 0.216492
1331.98 0.231237
1334.84 0.243489
1337.71 0.244781
1340.57 0.233144
1343.44 0.237036
1346.3 0.224508
1349.17 0.235476
1352.03 0.229063
1354.9 0.228394
1357.76 0.236307
1360.62 0.256323
1363.49 0.247421
1366.35 0.243285
1369.22 0.258355
1372.08 0.236491
1374.95 0.250497
1377.81 0.255302
1380.68 0.255451
1383.54 0.259102
1386.41 0.277669
1389.27 0.284488
1392.13 0.312828
1395 0.364326
1397.86 0.386548
1400.73 0.359377
1403.59 0.359897
1406.46 0.367475
1409.32 0.3866
1412.19 0.400534
1415.05 0.407286
1417.91 0.395778
1420.78 0.326438
1423.64 0.286972
1426.51 0.268007
1429.37 0.271669
1432.24 0.25425
1435.1 0.287802
1437.97 0.273128
1440.83 0.265468
1443.69 0.275728
1446.56 0.266803
1449.42 0.258292
1452.29 0.273928
1455.15 0.335001
1458.02 0.288046
1460.88 0.236808
1463.75 0.245343
1466.61 0.22956
1469.47 0.248532
1472.34 0.270181
1475.2 0.232463
1478.07 0.200227
1480.93 0.197135
1483.8 0.201178
1486.66 0.232976
1489.53 0.25244
1492.39 0.196741
1495.26 0.259134
1498.12 0.235325
1500.98 0.217437
1503.85 0.258577
1506.71 0.313274
1509.58 0.240732
1512.44 0.247152
1515.31 0.255295
1518.17 0.263857
1521.04 0.292535
1523.9 0.248687
1526.76 0.230704
1529.63 0.233557
1532.49 0.280095
1535.36 0.231902
1538.22 0.317838
1541.09 0.31531
1543.95 0.263152
1546.82 0.220213
1549.68 0.243486
1552.54 0.243744
1555.41 0.268146
1558.27 0.353593
1561.14 0.227311
1564 0.211652
1566.87 0.231227
1569.73 0.233967
1572.6 0.215045
1575.46 0.261068
1578.33 0.202143
1581.19 0.195748
1584.05 0.212553
1586.92 0.2015
1589.78 0.215922
1592.65 0.22468
1595.51 0.228675
1598.38 0.223877
1601.24 0.229963
1604.11 0.235166
1606.97 0.22813
1609.83 0.237109
1612.7 0.229691
1615.56 0.260306
1618.43 0.273849
1621.29 0.26212
1624.16 0.261203
1627.02 0.249217
1629.89 0.249315
1632.75 0.278052
1635.61 0.298078
1638.48 0.260448
1641.34 0.233674
1644.21 0.255048
1647.07 0.295393
1649.94 0.271152
1652.8 0.317686
1655.67 0.225489
1658.53 0.21344
1661.39 0.218591
1664.26 0.187827
1667.12 0.229734
1669.99 0.248218
1672.85 0.241085
1675.72 0.233974
1678.58 0.217797
1681.45 0.247364
1684.31 0.279453
1687.18 0.191017
1690.04 0.198776
1692.9 0.198554
1695.77 0.255698
1698.63 0.276532
1701.5 0.218907
1704.36 0.192889
1707.23 0.180095
1710.09 0.179157
1712.96 0.187329
1715.82 0.241203
1718.68 0.216222
1721.55 0.179901
1724.41 0.162848
1727.28 0.181735
1730.14 0.229112
1733.01 0.2704
1735.87 0.184038
1738.74 0.200951
1741.6 0.188752
1744.46 0.18436
1747.33 0.20232
1750.19 0.202181
1753.06 0.15939
1755.92 0.179744
1758.79 0.183929
1761.65 0.197034
1764.52 0.161244
1767.38 0.187339
1770.24 0.202612
1773.11 0.187279
1775.97 0.180484
1778.84 0.181324
1781.7 0.171886
1784.57 0.16558
1787.43 0.159183
1790.3 0.206996
1793.16 0.192831
1796.02 0.168914
1798.89 0.164794
1801.75 0.15925
1804.62 0.147813
1807.48 0.149267
1810.35 0.151893
1813.21 0.152449
1816.08 0.159549
1818.94 0.153696
1821.81 0.158115
1824.67 0.171903
1827.53 0.185258
1830.4 0.173408
1833.26 0.160664
1836.13 0.162846
1838.99 0.162849
1841.86 0.185422
1844.72 0.175172
1847.59 0.152324
1850.45 0.153836
1853.31 0.161471
1856.18 0.146155
1859.04 0.166244
1861.91 0.171382
1864.77 0.180654
1867.64 0.180285
1870.5 0.166382
1873.37 0.17485
1876.23 0.159846
1879.09 0.140678
1881.96 0.166054
1884.82 0.163143
1887.69 0.183047
1890.55 0.165745
1893.42 0.185737
1896.28 0.154298
1899.15 0.159072
1902.01 0.159048
1904.87 0.15232
1907.74 0.157733
1910.6 0.170005
1913.47 0.159384
1916.33 0.166208
1919.2 0.193013
1922.06 0.184031
1924.93 0.17264
1927.79 0.173566
1930.66 0.190701
1933.52 0.173852
1936.38 0.163541
1939.25 0.188024
1942.11 0.176255
1944.98 0.190535
1947.84 0.190402
1950.71 0.199585
1953.57 0.18441
1956.44 0.15155
1959.3 0.194031
1962.16 0.175807
1965.03 0.164074
1967.89 0.184038
1970.76 0.184327
1973.62 0.176275
1976.49 0.168836
1979.35 0.193984
1982.22 0.212332
1985.08 0.161986
1987.94 0.182422
1990.81 0.15965
1993.67 0.1974
1996.54 0.175461
1999.4 0.184293
2002.27 0.200238
2005.13 0.158707
2008 0.185864
2010.86 0.154238
2013.72 0.17717
2016.59 0.205243
2019.45 0.164999
2022.32 0.205711
2025.18 0.193576
2028.05 0.146789
2030.91 0.193873
2033.78 0.156142
2036.64 0.175403
2039.51 0.174903
2042.37 0.126911
2045.23 0.164399
2048.1 0.177767
2050.96 0.139949
2053.83 0.185709
2056.69 0.178279
2059.56 0.156137
2062.42 0.193105
2065.29 0.186942
2068.15 0.192964
2071.01 0.176822
2073.88 0.133866
2076.74 0.144741
2079.61 0.147447
2082.47 0.168419
2085.34 0.166752
2088.2 0.178948
2091.07 0.175981
2093.93 0.16842
2096.79 0.135214
2099.66 0.135923
2102.52 0.157946
2105.39 0.168604
2108.25 0.180476
2111.12 0.157702
2113.98 0.168134
2116.85 0.168173
2119.71 0.162477
2122.58 0.15396
2125.44 0.141551
2128.3 0.131235
2131.17 0.141999
2134.03 0.173224
2136.9 0.182922
2139.76 0.16625
2142.63 0.144052
2145.49 0.156496
2148.36 0.148135
2151.22 0.148243
2154.08 0.164155
2156.95 0.151823
2159.81 0.198986
2162.68 0.178727
2165.54 0.197768
2168.41 0.168418
2171.27 0.17725
2174.14 0.20968
2177 0.175904
2179.86 0.139557
2182.73 0.186072
2185.59 0.168798
2188.46 0.175116
2191.32 0.183859
2194.19 0.167933
2197.05 0.153889
2199.92 0.138162
2202.78 0.163272
2205.64 0.16363
2208.51 0.171958
2211.37 0.170559
2214.24 0.159231
2217.1 0.160127
2219.97 0.142106
2222.83 0.16951
2225.7 0.187737
2228.56 0.169314
2231.43 0.125495
2234.29 0.134692
2237.15 0.156845
2240.02 0.159436
2242.88 0.157785
2245.75 0.172949
2248.61 0.163628
2251.48 0.162775
2254.34 0.135346
2257.21 0.120319
2260.07 0.140384
2262.93 0.147192
2265.8 0.146325
2268.66 0.146124
2271.53 0.146734
2274.39 0.142633
2277.26 0.157875
2280.12 0.171965
2282.99 0.155222
2285.85 0.156858
2288.71 0.151972
2291.58 0.119178
2294.44 0.141924
2297.31 0.15657
2300.17 0.142745
2303.04 0.148294
2305.9 0.138702
2308.77 0.149085
2311.63 0.148729
2314.49 0.148061
2317.36 0.153513
2320.22 0.154139
2323.09 0.158182
2325.95 0.167197
2328.82 0.144896
2331.68 0.137095
2334.55 0.15719
2337.41 0.158416
2340.28 0.160262
2343.14 0.154469
2346 0.140355
2348.87 0.131065
2351.73 0.145373
2354.6 0.157892
2357.46 0.157622
2360.33 0.155106
2363.19 0.148202
2366.06 0.151285
2368.92 0.165848
2371.78 0.166715
2374.65 0.151055
2377.51 0.151014
2380.38 0.149869
2383.24 0.129649
2386.11 0.118521
2388.97 0.126565
2391.84 0.127918
2394.7 0.122659
2397.56 0.114207
2400.43 0.12966
2403.29 0.116831
2406.16 0.117054
2409.02 0.118452
2411.89 0.115991
2414.75 0.130976
2417.62 0.112871
2420.48 0.125038
2423.34 0.132218
2426.21 0.13099
2429.07 0.138402
2431.94 0.117783
2434.8 0.135574
2437.67 0.134256
2440.53 0.120323
2443.4 0.136409
2446.26 0.151256
2449.12 0.148185
2451.99 0.154675
2454.85 0.128421
2457.72 0.117766
2460.58 0.14724
2463.45 0.12004
2466.31 0.11914
2469.18 0.123675
2472.04 0.136997
2474.91 0.134146
2477.77 0.130781
2480.63 0.125561
2483.5 0.140588
2486.36 0.121995
2489.23 0.127458
2492.09 0.139404
2494.96 0.163912
2497.82 0.144912
2500.69 0.143335
2503.55 0.127048
2506.41 0.140353
2509.28 0.161513
2512.14 0.137177
2515.01 0.115833
2517.87 0.119867
2520.74 0.119552
2523.6 0.115114
2526.47 0.133517
2529.33 0.140229
2532.19 0.13791
2535.06 0.140041
2537.92 0.159902
2540.79 0.133928
2543.65 0.115982
2546.52 0.121818
2549.38 0.121802
2552.25 0.138826
2555.11 0.135464
2557.98 0.161039
2560.84 0.128433
2563.7 0.132643
2566.57 0.134024
2569.43 0.124975
2572.3 0.149125
2575.16 0.133575
2578.03 0.133508
2580.89 0.1213
2583.76 0.136701
2586.62 0.129478
2589.48 0.130815
2592.35 0.132717
2595.21 0.123346
2598.08 0.107007
2600.94 0.120421
2603.81 0.120353
2606.67 0.115985
2609.54 0.1393
2612.4 0.144736
2615.26 0.140583
2618.13 0.127007
2620.99 0.135443
2623.86 0.136408
2626.72 0.129233
2629.59 0.13561
2632.45 0.102851
2635.32 0.106958
2638.18 0.131061
2641.04 0.117251
2643.91 0.115274
2646.77 0.110506
2649.64 0.129931
2652.5 0.12715
2655.37 0.123215
2658.23 0.117857
2661.1 0.125823
2663.96 0.133094
2666.82 0.121309
2669.69 0.126392
2672.55 0.126941
2675.42 0.129048
2678.28 0.131511
2681.15 0.133137
2684.01 0.117306
2686.88 0.119062
2689.74 0.127
2692.61 0.129048
2695.47 0.131434
2698.33 0.125411
2701.2 0.122258
2704.06 0.117657
2706.93 0.120068
2709.79 0.135179
2712.66 0.116542
2715.52 0.123567
2718.39 0.116873
2721.25 0.122313
2724.11 0.116538
2726.98 0.135137
2729.84 0.13025
2732.71 0.13239
2735.57 0.118913
2738.44 0.105803
2741.3 0.124184
2744.17 0.126546
2747.03 0.121261
2749.89 0.121137
2752.76 0.113823
2755.62 0.115366
2758.49 0.118336
2761.35 0.125981
2764.22 0.133836
2767.08 0.12641
2769.95 0.137998
2772.81 0.133725
2775.68 0.127155
2778.54 0.124801
2781.4 0.141874
2784.27 0.154106
2787.13 0.134438
2790 0.129259
2792.86 0.150472
2795.73 0.156758
2798.59 0.144578
2801.46 0.152255
2804.32 0.153055
2807.18 0.15934
2810.05 0.164954
2812.91 0.151469
2815.78 0.157372
2818.64 0.145181
2821.51 0.156761
2824.37 0.156814
2827.24 0.163657
2830.1 0.137417
2832.96 0.147243
2835.83 0.166696
2838.69 0.166037
2841.56 0.1574
2844.42 0.171293
2847.29 0.165488
2850.15 0.16624
2853.02 0.178393
2855.88 0.171854
2858.74 0.172724
2861.61 0.163074
2864.47 0.155865
2867.34 0.164831
2870.2 0.159188
2873.07 0.168217
2875.93 0.176881
2878.8 0.179953
2881.66 0.183283
2884.53 0.206657
2887.39 0.204124
2890.25 0.215958
2893.12 0.228593
2895.98 0.244225
2898.85 0.248408
2901.71 0.262418
2904.58 0.278544
2907.44 0.276439
2910.31 0.268143
2913.17 0.241556
2916.03 0.255603
2918.9 0.224494
2921.76 0.22161
2924.63 0.230267
2927.49 0.23177
2930.36 0.237614
2933.22 0.249144
2936.09 0.245536
2938.95 0.263425
2941.81 0.277037
2944.68 0.342378
2947.54 0.385379
2950.41 0.468421
2953.27 0.612379
2956.14 0.808264
2959 1.00336
2961.87 1.05562
2964.73 0.971374
2967.59 0.755221
2970.46 0.571585
2973.32 0.452217
2976.19 0.359507
2979.05 0.307221
2981.92 0.263305
2984.78 0.248832
2987.65 0.21911
2990.51 0.202727
2993.38 0.201454
2996.24 0.1845
2999.1 0.188064
3001.97 0.193668
3004.83 0.18872
3007.7 0.160606
3010.56 0.171789
3013.43 0.168551
3016.29 0.160728
3019.16 0.183215
3022.02 0.185688
3024.88 0.183172
3027.75 0.182023
3030.61 0.179386
3033.48 0.166849
3036.34 0.164976
3039.21 0.172418
3042.07 0.165551
3044.94 0.159122
3047.8 0.164902
3050.66 0.154945
3053.53 0.173867
3056.39 0.174869
3059.26 0.167949
3062.12 0.180622
3064.99 0.180779
3067.85 0.162917
3070.72 0.168413
3073.58 0.178719
3076.44 0.174106
3079.31 0.170209
3082.17 0.169379
3085.04 0.173288
3087.9 0.171549
3090.77 0.18197
3093.63 0.175431
3096.5 0.165584
3099.36 0.167091
3102.23 0.183079
3105.09 0.17881
3107.95 0.174662
3110.82 0.185705
3113.68 0.182949
3116.55 0.174024
3119.41 0.184694
3122.28 0.168222
3125.14 0.175759
3128.01 0.19071
3130.87 0.185272
3133.73 0.190927
3136.6 0.186468
3139.46 0.176744
3142.33 0.178256
3145.19 0.201964
3148.06 0.182629
3150.92 0.17731
3153.79 0.168592
3156.65 0.202535
3159.51 0.176238
3162.38 0.169014
3165.24 0.157677
3168.11 0.209874
3170.97 0.196495
3173.84 0.204089
3176.7 0.200405
3179.57 0.188658
3182.43 0.188776
3185.29 0.190482
3188.16 0.161719
3191.02 0.164225
3193.89 0.163085
3196.75 0.164083
3199.62 0.199612
3202.48 0.196812
3205.35 0.189038
3208.21 0.184465
3211.07 0.190347
3213.94 0.171055
3216.8 0.17715
3219.67 0.186357
3222.53 0.205623
3225.4 0.202404
3228.26 0.204826
3231.13 0.174133
3233.99 0.171153
3236.86 0.184734
3239.72 0.197353
3242.58 0.194336
3245.45 0.194794
3248.31 0.195478
3251.18 0.183358
3254.04 0.195841
3256.91 0.178529
3259.77 0.189108
3262.64 0.181264
3265.5 0.188661
3268.36 0.177145
3271.23 0.171612
3274.09 0.19642
3276.96 0.197707
3279.82 0.201808
3282.69 0.211611
3285.55 0.180808
3288.42 0.175714
3291.28 0.222323
3294.14 0.187046
3297.01 0.158077
3299.87 0.171331
3302.74 0.196854
3305.6 0.207364
3308.47 0.19726
3311.33 0.183713
3314.2 0.157442
3317.06 0.170656
3319.93 0.183091
3322.79 0.197887
